Ubicación,Material
K22-36-A,300026554
K21-32-A,300026555
K21-30-A,300026556
K21-50-A,300026753
M25-43-A,300036388
K22-21-A,300045432
O30-37-A,300045450
K22-25-A,300045758
K22-22-A,300045920
K22-19-A,300045921
K21-49-A,300046056
K21-21-A,300046280
Q34-38-A,300047828
K22-31-A,300048024
K21-22-A,300050790
M26-44-A,300051183
K22-29-A,300052282
Q34-35-A,300053729
K21-27-A,300054001
O29-27-A,300054088
Q33-29-A,300054180
Q33-21-A,300054969
O30-29-A,300054998
M26-31-A,300055261
Q34-31-A,300055263
M26-33-A,300056452
O30-33-A,300056498
M25-38-A,300056591
M26-41-A,300056611
Q34-47-A,300056613
M25-19-A,300058529
Q33-19-A,300058650
M25-23-A,300058910
Q34-48-A,300058912
O30-43-A,300059050
O29-31-A,300059311
O29-36-A,300059470
K22-23-A,300059755
K21-53-A,300059757
K21-54-A,300059758
K21-19-A,300059759
K22-27-A,300059960
K22-37-A,300059961
K21-23-A,300059963
K22-40-A,300059965
K21-33-A,300060100
O30-50-A,300060101
K22-56-A,300060115
K22-48-A,300060117
M25-29-A,300060146
O30-27-A,300060148
Q34-21-A,300060149
O29-29-A,300060211
M26-36-A,300060213
O29-43-A,300060405
Q33-35-A,300060824
Q33-27-A,300060853
Q33-44-A,300060951
O29-50-A,300061074
R35-20-A,300061076
O30-38-A,300061077
Q33-23-A,300061105
Q34-25-A,300061209
O30-25-A,300061240
M26-47-A,300061250
K22-32-A,300061947
K22-28-A,300061948
Q34-33-A,300061949
O29-34-A,300062220
M25-33-A,300062221
Q33-40-A,300062524
M25-48-A,300063238
M26-48-A,300063442
M25-47-A,300063524
Q33-35-A,300063525
K22-30-A,300063912
K21-43-A,300063923
K21-35-A,300063956
O30-44-A,300064106
Q33-30-A,300064115
Q33-38-A,300064332
K22-47-A,300064333
M26-32-A,300064334
M26-35-A,300064335
O30-19-A,300064336
M26-25-A,300064405
Q34-49-A,300064406
M26-50-A,300064408
O29-28-A,300064409
O29-35-A,300064490
O30-31-A,300064530
R35-25-A,300064531
O30-30-A,300064643
Q34-40-A,300064644
O30-41-A,300064645
Q33-36-A,300064647
M26-19-A,300064649
M25-36-A,300064779
O29-38-A,300064916
M26-42-A,300065130
Q33-50-A,300065289
R35-21-A,300065304
M25-27-A,300065400
M25-37-A,300065401
M25-44-A,300065402
M25-49-A,300065490
K21-38-A,300065502
K22-33-A,300065503
K22-41-A,300065504
Q33-48-A,300065505
Q34-19-A,300065522
O29-49-A,300065523
O30-36-A,300065546
M25-50-A,300065547
M26-37-A,300065658
Q33-42-A,300065659
K22-50-A,300065779
O30-42-A,300065824
M25-34-A,300065833
M26-39-A,300065873
O30-35-A,300065874
O30-47-A,300065875
M25-31-A,300065900
Q33-34-A,300065901
M26-49-A,300065906
O30-48-A,300065907
R35-31-A,300065909
O29-37-A,300065960
Q33-31-A,300065975
Q34-36-A,300065989
O29-42-A,300066020
R35-29-A,300066070
R35-28-A,300066071
O29-19-A,300066161
Q33-39-A,300066162
R35-30-A,300066163
Q33-32-A,300066164
Q34-37-A,300066165
Q34-34-A,300066166
Q34-43-A,300066167
K21-56-A,300066183
Q34-39-A,300066190
K22-49-A,300066210
R35-26-A,300066251
M25-32-A,300066281
M26-43-A,300066329
Q34-27-A,300066348
O30-40-A,300066375
Q34-32-A,300066430
Q33-33-A,300066431
R35-22-A,300066432
K22-53-A,300066455
Q33-41-A,300066459
